,id,question,answer,context_hallucination_reason,has_context_hallucination
0,1,Como o código trata o crime de difamação quando há a eventual prova da verdade?,"O crime de difamação (art. 139, CP) consiste em atribuir a alguém fato ofensivo à sua reputação.

Prova da verdade: Se o acusado provar a veracidade do fato difamatório, a conduta será atípica (não constitui crime), exceto se:

O fato se referir à vida privada da vítima;

A divulgação for desnecessária ou motivada por malícia (art. 140, §1º, CP).","A resposta não apresenta alucinação contextual, pois todas as informações estão coerentes entre si: o crime de difamação é definido corretamente, e a exceção referente à prova da verdade está explicada de maneira consistente, destacando os casos em que a divulgação do fato verídico ainda pode ser criminosa.",0 
1,2,Qual a pena prevista para injúria quando há utilização de elementos referentes à religião ou condição de pessoa idosa ou com deficiência?,"A injúria (art. 140, CP) é ofender a dignidade de alguém.

Qualificadora: 
Se a injúria utilizar elementos referentes a:
- Religião;
- Condição de pessoa idosa (60+ anos);
- Pessoa com deficiência.

Pena: Reclusão de 1 a 3 anos + multa (art. 140, §3º, CP).","A resposta não contém alucinação contextual, pois as informações apresentadas sobre a injúria, qualificadoras e pena são consistentes entre si e não se contradizem.",0 
2,3,Quais práticas configuram o crime de falsificação de documento público?,"art. 297, CP

Configura-se quando alguém:
- Falsifica (altera, fabrica ou modifica) documento público;
- Usa documento público falso sabendo que é falso;
- Omite declaração que deveria constar em documento público.

Pena: Reclusão de 2 a 6 anos + multa","Não houve alucinação contextual, pois o texto apresenta informações consistentes relacionadas ao artigo 297 do Código Penal, descrevendo os atos que configuram o crime e a respectiva pena, sem contradições internas.",0 
3,4,Como o Código Penal trata o crime de dano qualificado por violências ou meios cruéis?,"O crime de dano (art. 163, CP) torna-se qualificado se cometido:

- Com violência (contra pessoa ou coisa);
- Com meios cruéis (causando sofrimento desnecessário).

Pena: Reclusão de 1 a 4 anos + multa (art. 163, §1º, CP).","A resposta não apresenta alucinação contextual, pois as informações sobre o crime de dano, suas qualificadoras e a pena correspondente são consistentes entre si e não se contradizem.",0 
4,5,Quais ações constituem o crime de extorsão?,"O crime de extorsão está previsto no artigo 158 do Código Penal Brasileiro e consiste em obter vantagem econômica ou qualquer outro benefício ilegítimo mediante violência, grave ameaça ou depois de reduzir a vítima à impossibilidade de resistência.

Elementos que configuram a extorsão (art. 158, CP)
Conduta do agente:
- Exigir vantagem indevida (dinheiro, bens, serviços, assinatura de documento, etc.);
- Utilizar meios coercitivos:
- Violência (física ou psicológica);
- Grave ameaça (promessa de mal futuro e inevitável, como morte, sequestro, destruição de patrimônio);
- Reduzir a vítima à impossibilidade de resistir (ex.: dopagem, embriaguez forçada).
- Finalidade: Obter proveito econômico ou benefício ilegítimo para si ou para outrem.Afetam coletividade indeterminada (ex.: incêndio, explosão – art. 250, CP).       
- Bem jurídico: segurança coletiva.
- Crimes de Perigo Resultante
- Afetam indivíduos específicos, mas o perigo é elemento do crime (ex.: dirigir embriagado – art. 306, CTB).
- Bem jurídico: vida/integridade de pessoa(s) determinada(s).
","Não houve alucinação contextual, pois o texto apresenta informações coerentes e consistentes sobre o crime de extorsão, seus elementos e conceitos correlatos, sem contradições entre as partes apresentadas.",0 
5,6,Como a legislação penal brasileira trata o reingresso de estrangeiro expulsos do país?,"É crime reingressar no Brasil após expulsão, sem autorização.
Pena: Reclusão de 1 a 4 anos (além de nova expulsão).","Não houve alucinação contextual, pois a informação apresentada está coerente: reingressar no Brasil após expulsão sem autorização é crime, e a pena descrita está relacionada a essa mesma conduta, sem contradições no texto.",0 
6,7,Quais fatores podem reduzir o prazo de prescrição do crime?,"O prazo prescricional pode ser reduzido se:

O agente for réu primário (não tem condenações anteriores);
O crime for de menor potencial ofensivo (Lei nº 9.099/95);
Houver circunstâncias atenuantes (art. 110, CP).","Não houve alucinação contextual, pois o texto apresenta condições que podem, de fato, influenciar na redução do prazo prescricional no contexto jurídico, sem contradições internas.",0.
7,8,Como o Código Penal regula o crime de sequestro e quais as penalidades relacionadas?,"Sequestro (art. 148, CP)

Definição: Privar alguém de sua liberdade por meio de:
- Violência;
- Ameaça;
- Fraude.

Pena: Reclusão de 1 a 3 anos (se não houver agravantes).

- Agravantes (aumentam a pena):
- Sequestro por mais de 24h;
- Vítima menor de 18 anos ou idosa;
- Extorsão como motivação.","Não há alucinação contextual no texto apresentado, pois todas as informações sobre a definição, a pena e os agravantes do crime de sequestro estão coerentes e relacionadas corretamente, sem contradições entre si.",0.
8,9,"Quais as agravantes para o homicídio qualificado, conforme o artigo do Código Penal?","Homicídio qualificado (art. 121, §2º, CP)

São agravantes (motivos ou meios que tornam o crime mais grave):
- Motivo torpe (futilidade, ganho financeiro);
- Motivo fútil (banal);
- Meios cruéis (sofrimento desnecessário);
- Emboscada (lugar oculto);
- Incêndio, explosivo ou veneno;
- Contra vítima menor de 14 ou maior de 60 anos.","Não há alucinação contextual no texto apresentado, pois os elementos listados como agravantes para homicídio qualificado são coerentes entre si e corretos conforme o artigo mencionado do Código Penal.",0 
9,10,Em que condições o condenado poderá exercer trabalho externo no regime fechado?,"O condenado em regime fechado pode trabalhar externamente se:
- Cumpre 1/6 da pena (se primário) ou 1/4 (se reincidente);
- Comportamento adequado;
- Trabalho compatível com a execução penal;
- Autorização judicial.","Não houve alucinação contextual, pois as condições para o condenado em regime fechado trabalhar externamente estão listadas de forma coerente e sem contradição entre elas.",0 
