,id,question,answer,context_hallucination_reason,has_context_hallucination
0,1,Como o código trata o crime de difamação quando há a eventual prova da verdade?,"O crime de difamação (art. 139, CP) consiste em atribuir a alguém fato ofensivo à sua reputação.

Prova da verdade: Se o acusado provar a veracidade do fato difamatório, a conduta será atípica (não constitui crime), exceto se:

O fato se referir à vida privada da vítima;

A divulgação for desnecessária ou motivada por malícia (art. 140, §1º, CP).","Não há alucinação contextual.

Explicação: O texto se refere a um tema específico sobre crime e direito, e a explicação apresentada é lógica e consistente com o contexto. Nenhuma contradição ou incoerência foi encontrada entre as informações apresentadas.",0
1,2,Qual a pena prevista para injúria quando há utilização de elementos referentes à religião ou condição de pessoa idosa ou com deficiência?,"A injúria (art. 140, CP) é ofender a dignidade de alguém.

Qualificadora: 
Se a injúria utilizar elementos referentes a:
- Religião;
- Condição de pessoa idosa (60+ anos);
- Pessoa com deficiência.

Pena: Reclusão de 1 a 3 anos + multa (art. 140, §3º, CP).","A justificativa para não haver alucinação contextual é que o texto descreve leis e penalidades relacionadas à injúria, sem apresentar contradições entre as informações.",0
2,3,Quais práticas configuram o crime de falsificação de documento público?,"art. 297, CP

Configura-se quando alguém:
- Falsifica (altera, fabrica ou modifica) documento público;
- Usa documento público falso sabendo que é falso;
- Omite declaração que deveria constar em documento público.

Pena: Reclusão de 2 a 6 anos + multa","Não houve alucinação contextual.

A explicação é que o texto apresenta apenas uma descrição legal, sem qualquer conexão com informações previas ou posteriores, nem contexto que possa ser considerado contraditório. O texto apresenta informações sobre um crime e sua pena, não há alucinação contextual.",0
3,4,Como o Código Penal trata o crime de dano qualificado por violências ou meios cruéis?,"O crime de dano (art. 163, CP) torna-se qualificado se cometido:

- Com violência (contra pessoa ou coisa);
- Com meios cruéis (causando sofrimento desnecessário).

Pena: Reclusão de 1 a 4 anos + multa (art. 163, §1º, CP).","A resposta não apresenta contradição ou falta de conexão entre os assuntos. O texto trata sobre o crime de dano e suas consequências legais, sem apresentar qualquer tipo de alucinação contextual.",0
4,5,Quais ações constituem o crime de extorsão?,"O crime de extorsão está previsto no artigo 158 do Código Penal Brasileiro e consiste em obter vantagem econômica ou qualquer outro benefício ilegítimo mediante violência, grave ameaça ou depois de reduzir a vítima à impossibilidade de resistência.

Elementos que configuram a extorsão (art. 158, CP)
Conduta do agente:
- Exigir vantagem indevida (dinheiro, bens, serviços, assinatura de documento, etc.);
- Utilizar meios coercitivos:
- Violência (física ou psicológica);
- Grave ameaça (promessa de mal futuro e inevitável, como morte, sequestro, destruição de patrimônio);
- Reduzir a vítima à impossibilidade de resistir (ex.: dopagem, embriaguez forçada).
- Finalidade: Obter proveito econômico ou benefício ilegítimo para si ou para outrem.Afetam coletividade indeterminada (ex.: incêndio, explosão – art. 250, CP).       
- Bem jurídico: segurança coletiva.
- Crimes de Perigo Resultante
- Afetam indivíduos específicos, mas o perigo é elemento do crime (ex.: dirigir embriagado – art. 306, CTB).
- Bem jurídico: vida/integridade de pessoa(s) determinada(s).
","Explicação: O texto apresenta uma descrição do crime de extorsão e suas características, mas não há conexão entre o conteúdo e outro assunto, portanto, não há alucinação contextual.",0
5,6,Como a legislação penal brasileira trata o reingresso de estrangeiro expulsos do país?,"É crime reingressar no Brasil após expulsão, sem autorização.
Pena: Reclusão de 1 a 4 anos (além de nova expulsão).","Não há alucinação contextual.

Explicação: O texto apresenta informações sobre o crime e a pena em um contexto específico, sem apresentar nenhuma contradição ou conexão inapropriada entre os assuntos.",0
6,7,Quais fatores podem reduzir o prazo de prescrição do crime?,"O prazo prescricional pode ser reduzido se:

O agente for réu primário (não tem condenações anteriores);
O crime for de menor potencial ofensivo (Lei nº 9.099/95);
Houver circunstâncias atenuantes (art. 110, CP).","Não houve alucinação contextual.

A justificativa para essa resposta é que as condições mencionadas (""O agente for réu primário"", ""O crime for de menor potencial ofensivo"" e ""Houver circunstâncias atenuantes"") são independentes entre si e não apresentam contradições lógicas ou absurdas, portanto não há alucinação contextual.",0
7,8,Como o Código Penal regula o crime de sequestro e quais as penalidades relacionadas?,"Sequestro (art. 148, CP)

Definição: Privar alguém de sua liberdade por meio de:
- Violência;
- Ameaça;
- Fraude.

Pena: Reclusão de 1 a 3 anos (se não houver agravantes).

- Agravantes (aumentam a pena):
- Sequestro por mais de 24h;
- Vítima menor de 18 anos ou idosa;
- Extorsão como motivação.","Não houve alucinação contextual.

A explicação é que o texto apresenta uma definição e descrição de um crime (sequestro) juntamente com sua pena e agravantes, sem que haja nenhuma contradição ou incongruência entre as informações apresentadas.",0
8,9,"Quais as agravantes para o homicídio qualificado, conforme o artigo do Código Penal?","Homicídio qualificado (art. 121, §2º, CP)

São agravantes (motivos ou meios que tornam o crime mais grave):
- Motivo torpe (futilidade, ganho financeiro);
- Motivo fútil (banal);
- Meios cruéis (sofrimento desnecessário);
- Emboscada (lugar oculto);
- Incêndio, explosivo ou veneno;
- Contra vítima menor de 14 ou maior de 60 anos.","Não há alucinação contextual.

A resposta não apresenta contradições entre as informações fornecidas. O texto lista agravantes para o crime de homicídio qualificado, e cada item é uma descrição específica e lógica do que torna um crime mais grave. Nenhum dos itens contradiz os outros ou apresenta uma incongruência lógica.",0
9,10,Em que condições o condenado poderá exercer trabalho externo no regime fechado?,"O condenado em regime fechado pode trabalhar externamente se:
- Cumpre 1/6 da pena (se primário) ou 1/4 (se reincidente);
- Comportamento adequado;
- Trabalho compatível com a execução penal;
- Autorização judicial.","Não houve alucinação contextual.

A razão pela qual não há alucinação contextual é que os pontos apresentados são condições lógicas e sequenciadas para que o condenado em regime fechado possa trabalhar externamente, sem contradições ou falhas de lógica.",0
