,id,question,answer,context_hallucination_reason
0,1,Como o código trata o crime de difamação quando há a eventual prova da verdade?,"No crime de difamação (art. 139 do Código Penal), a prova da verdade da imputação (chamada exceptio veritatis) geralmente não é admitida. Isso porque o bem jurídico protegido é a honra objetiva da pessoa, ou seja, a reputação perante terceiros. Mesmo que o fato difamatório seja verdadeiro, a sua divulgação pode ser considerada lesiva à reputação.

No entanto, o § 3º do artigo 139 traz uma exceção: a prova da verdade é admitida se a imputação se referir a fato de que o ofendido foi processado e absolvido judicialmente. Nesse caso específico, demonstrar a verdade da acusação original pode ser relevante.","content='0 No texto apresentado não há contradição nem incoerência entre as informações. Ele explica inicialmente que, no crime de difamação, a prova da verdade da imputação geralmente não é admitida, pois o bem jurídico protegido é a honra objetiva. Em seguida, apresenta uma exceção prevista no § 3º do artigo 139, que admite a prova da verdade em caso específico de absolvição judicial. Portanto, as partes do texto se conectam adequadamente e não há alucinação contextual.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 104, 'prompt_tokens': 429, 'total_tokens': 533, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJ2Py0FVpXnNCnAOVlexFPGjx2b', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--2144c713-211a-40e8-b4a9-88c17673a078-0' usage_metadata={'input_tokens': 429, 'output_tokens': 104, 'total_tokens': 533, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
1,2,Qual a pena prevista para injúria quando há utilização de elementos referentes à religião ou condição de pessoa idosa ou com deficiência?,"A injúria, prevista no artigo 140 do Código Penal, tem como pena base a detenção de um a seis meses ou multa. No entanto, o § 3º do mesmo artigo estabelece uma qualificadora para a injúria quando utilizada ""elementos referentes a religião ou à condição de pessoa idosa ou com deficiência"".","content='0 A resposta não apresenta contradição; o texto explica a pena base para injúria e também menciona uma qualificadora específica no mesmo artigo, ambos os pontos são coerentes entre si.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 40, 'prompt_tokens': 355, 'total_tokens': 395, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJ4OhBuy5PGee28tDNJLPD6GljP', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--56b24d13-a1e0-414c-a686-e1e4aeaf941a-0' usage_metadata={'input_tokens': 355, 'output_tokens': 40, 'total_tokens': 395, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
2,3,Quais práticas configuram o crime de falsificação de documento público?,"O artigo 297 do Código Penal tipifica o crime de falsificação de documento público. As principais condutas que o configuram são:

Fabricar integralmente documento público falso.
Alterar documento público verdadeiro.
Inserir em documento público verdadeiro declaração falsa ou diversa da que deveria ser escrita, com o fim de prejudicar direito, criar obrigação ou alterar a verdade sobre fato juridicamente relevante.
Suprimir ou ocultar, em documento público verdadeiro, qualquer dado ou informação que devia constar.
Usar qualquer dos documentos falsificados ou alterados, sabendo da falsidade ou alteração.
Falsificar passaporte, folha de identificação ou documento de viagem, ou deles fazer uso.
Para a configuração do crime, é essencial a intenção de prejudicar direito, criar obrigação ou alterar a verdade sobre fato juridicamente relevante.","content='0. Não houve alucinação contextual, pois todas as informações apresentadas são compatíveis entre si e detalham diferentes formas de falsificação de documento público conforme o artigo 297 do Código Penal, sem contradições ou incoerências internas.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 50, 'prompt_tokens': 448, 'total_tokens': 498, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJ6QiunrfuwfNs7E8oYzIPf9FLD', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--063b68cf-a170-4e79-94e0-624b206614d3-0' usage_metadata={'input_tokens': 448, 'output_tokens': 50, 'total_tokens': 498, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
3,4,Como o Código Penal trata o crime de dano qualificado por violências ou meios cruéis?,"O crime de dano simples está previsto no artigo 163 do Código Penal. O dano se torna qualificado, com pena mais severa, quando ocorre alguma das hipóteses do artigo 163, parágrafo único. A qualificadora de ""violência ou grave ameaça à pessoa"" está prevista no inciso II. Já a qualificadora de ""meio cruel"" não está expressamente mencionada nesse inciso, mas a interpretação jurisprudencial e doutrinária entende que a utilização de meios que causem sofrimento desnecessário e excessivo à vítima, durante a prática do dano, pode qualificar o crime por analogia in malam partem (em desfavor do réu), embora essa interpretação seja mais controversa e menos comum.

É mais comum que a violência ou grave ameaça à pessoa esteja relacionada a outros crimes, como roubo ou extorsão, nos quais o dano ao patrimônio é um meio para a consecução do crime principal.","content='0 A resposta não apresenta contradição entre as informações fornecidas. O texto explica a previsão legal do crime de dano simples e as hipóteses do dano qualificado, mencionando que a qualificadora de ""meio cruel"" não está expressamente prevista no inciso II do artigo 163, mas que há interpretações jurisprudenciais e doutrinárias a seu respeito, o que não contradiz a informação de que ""violência ou grave ameaça à pessoa"" está mais comumente relacionada a outros crimes. Portanto, não há incoerência ou contradição no contexto apresentado.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 118, 'prompt_tokens': 475, 'total_tokens': 593, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJ8LuWv2T8EU3RUWf7dUJi3Ysa9', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--a92080d7-46d9-4460-8c00-0cf4cb024e8a-0' usage_metadata={'input_tokens': 475, 'output_tokens': 118, 'total_tokens': 593, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
4,5,Quais ações constituem o crime de extorsão?,"No Brasil, o crime de extorsão está previsto no artigo 158 do Código Penal e se configura por meio das seguintes ações:

Constranger alguém: Essa é a ação nuclear do crime. O constrangimento significa obrigar, forçar, compelir a vítima a fazer ou deixar de fazer algo contra a sua vontade. Essa coação não precisa ser física; pode ser moral, mediante grave ameaça.

Mediante violência ou grave ameaça: A violência se refere ao emprego de força física contra a vítima. A grave ameaça consiste na promessa de um mal grave e injusto, capaz de intimidar a vítima e viciar sua vontade. Essa ameaça pode ser dirigida à própria vítima ou a pessoas a ela ligadas (familiares, amigos, etc.).

Com o intuito de obter para si ou para outrem indevida vantagem econômica: O objetivo do agente é conseguir um benefício patrimonial ilícito. Essa vantagem pode ser dinheiro, bens, valores, direitos ou qualquer outra coisa que tenha valor econômico. O intuito de obter a vantagem indevida é essencial para caracterizar a extorsão.

A fazer, tolerar que se faça ou deixar de fazer alguma coisa: O constrangimento exercido sobre a vítima visa a um comportamento específico:

Fazer: A vítima é obrigada a praticar um ato, como entregar dinheiro, assinar um documento, etc.
Tolerar que se faça: A vítima é forçada a permitir que o agente ou terceiro realize alguma ação, como ocupar um imóvel, explorar um negócio, etc.
Deixar de fazer: A vítima é coagida a não praticar um ato, como denunciar um crime, cobrar uma dívida, etc.","content='0. Não há alucinação contextual no texto, pois todas as informações apresentadas são consistentes e complementares entre si, detalhando corretamente os elementos que caracterizam o crime de extorsão conforme o artigo 158 do Código Penal brasileiro, sem contradições internas.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 56, 'prompt_tokens': 622, 'total_tokens': 678, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_6f2eabb9a5', 'id': 'chatcmpl-BfNJBNI8TpMerumji2vjZ6XIaMyKC', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--62c55807-b350-4f90-88eb-32c7beb9ea1b-0' usage_metadata={'input_tokens': 622, 'output_tokens': 56, 'total_tokens': 678, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
5,6,Como a legislação penal brasileira trata o reingresso de estrangeiro expulsos do país?,"O reingresso de estrangeiro que foi expulso do território nacional é considerado crime, previsto no artigo 338 do Código Penal: ""Reingressar no território nacional estrangeiro que dele foi expulso: Pena - detenção, de um a quatro anos, sem prejuízo da nova expulsão após o cumprimento da pena.""","content='0 Não houve alucinação contextual, pois o texto apresenta uma informação clara e consistente sobre o crime de reingresso de estrangeiro expulso, com a citação correta do artigo e da pena prevista, sem contradições no conteúdo.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 50, 'prompt_tokens': 356, 'total_tokens': 406, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJDjmFCaEg83jVFQ2IycNs7nnPy', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--f9ec7cab-bfee-4f1e-92e2-7af4c80aa919-0' usage_metadata={'input_tokens': 356, 'output_tokens': 50, 'total_tokens': 406, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
6,7,Quais fatores podem reduzir o prazo de prescrição do crime?,"O Código Penal prevê duas causas gerais de redução do prazo de prescrição (art. 115):

Ser o agente, ao tempo do crime, menor de 21 (vinte e um) anos: A menoridade penal, embora fixada em 18 anos para fins de imputabilidade, ainda influencia na contagem do prazo prescricional, reconhecendo uma menor maturidade do agente à época do delito.

Ser o agente, na data da sentença, maior de 70 (setenta) anos: A senilidade também é considerada um fator que justifica a redução do prazo prescricional, possivelmente em razão da maior dificuldade de persecução penal e da finalidade da pena em relação a uma pessoa idosa.

Nesses dois casos, os prazos de prescrição previstos no artigo 109 do Código Penal são reduzidos pela metade. É importante ressaltar que essas são causas gerais de redução, aplicáveis tanto à prescrição da pretensão punitiva (antes do trânsito em julgado da sentença) quanto à prescrição da pretensão executória (após o trânsito em julgado).","content='0. Não há alucinação contextual no texto apresentado. As informações sobre a redução do prazo de prescrição estão coerentes entre si, explicando as causas gerais (menoridade e maioridade aos 70 anos) e sua aplicação no Código Penal, sem contradições internas.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 58, 'prompt_tokens': 508, 'total_tokens': 566, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJFH3TGdO0TPV78iBq63hiaUCjV', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--ae38e57e-72ed-4dd8-b131-fac9d79f3f21-0' usage_metadata={'input_tokens': 508, 'output_tokens': 58, 'total_tokens': 566, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
7,8,Como o Código Penal regula o crime de sequestro e quais as penalidades relacionadas?,"O crime de sequestro e cárcere privado está previsto no artigo 148 do Código Penal: ""Privar alguém de sua liberdade, mediante sequestro ou cárcere privado: Pena - reclusão, de um a três anos.""

O tipo penal abrange tanto o sequestro (retenção da vítima em local diverso de sua residência ou habitual) quanto o cárcere privado (confinamento da vítima em um local fechado).

O parágrafo 1º do artigo 148 prevê diversas causas de aumento de pena, elevando a reclusão para dois a oito anos, se:

A vítima for ascendente, descendente, cônjuge ou companheiro do agente ou maior de 60 (sessenta) anos.
O crime for praticado mediante violência ou grave ameaça.
O crime durar mais de quinze dias.
O crime for praticado contra menor de 18 (dezoito) anos.
O crime for praticado com finalidade libidinosa.
O parágrafo 2º estabelece uma forma qualificada do crime, com pena de reclusão de dois a oito anos, se resultar à vítima lesão corporal de natureza grave ou morte.","content='0. Não há alucinação contextual, pois todas as informações apresentadas são coerentes entre si e consistentes com o conteúdo legal descrito. O texto explica corretamente o que caracteriza o crime de sequestro e cárcere privado, incluindo as causas de aumento de pena e a forma qualificada do crime, sem apresentar contradições ou informações incompatíveis no contexto.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 75, 'prompt_tokens': 524, 'total_tokens': 599, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJHykYrT5gYDlWyRhkGmlKO64my', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--a7302065-3f0d-44d5-82ca-a0e635ade3ce-0' usage_metadata={'input_tokens': 524, 'output_tokens': 75, 'total_tokens': 599, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
8,9,"Quais as agravantes para o homicídio qualificado, conforme o artigo do Código Penal?","O homicídio qualificado está previsto no artigo 121, § 2º, do Código Penal. As qualificadoras, que tornam o crime mais grave e elevam a pena de reclusão de doze a trinta anos, são:

Inciso I: Mediante paga ou promessa de recompensa, ou por outro motivo torpe.
Inciso II: Por motivo fútil.
Inciso III: Com emprego de veneno, fogo, explosivo, asfixia, tortura ou outro meio insidioso ou cruel, ou de que possa resultar perigo comum.
Inciso IV: À traição, de emboscada, ou mediante dissimulação ou outro recurso que dificulte ou torne impossível a defesa do ofendido.
Inciso V: Para assegurar a execução, a ocultação, a impunidade ou vantagem de outro crime.
Inciso VI: Contra a mulher por razões da condição de sexo feminino (feminicídio).
Inciso VII: Contra autoridade ou agente descrito nos arts. 142 e 144 da Constituição Federal, integrantes do sistema prisional e da Força Nacional de Segurança Pública, no exercício da função ou em decorrência dela, ou contra seu cônjuge, companheiro ou parente consanguíneo até o terceiro grau, em razão dessa condição.
Inciso VIII: Contra pessoa menor de 14 (quatorze) anos.
É importante notar que essas são as qualificadoras expressamente previstas no artigo 121, § 2º. A incidência de uma dessas qualificadoras torna o homicídio um crime hediondo, com consequências processuais e penais mais severas.","content='0. Não houve alucinação contextual porque o texto apresenta informações coerentes e consistentes sobre as qualificadoras do homicídio qualificado conforme previstas no artigo 121, § 2º, do Código Penal, sem contradições internas.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 49, 'prompt_tokens': 620, 'total_tokens': 669, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJJSSUmcFsWZpgaWuLZ4yiRzLRY', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--254cd6a5-da16-44ca-ad3c-cf65baa5b035-0' usage_metadata={'input_tokens': 620, 'output_tokens': 49, 'total_tokens': 669, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
9,10,Em que condições o condenado poderá exercer trabalho externo no regime fechado?,"A Lei de Execução Penal (Lei nº 7.210/84) estabelece que, em regra, o trabalho externo não é admitido para condenados em regime fechado (art. 36, § 1º).

No entanto, o artigo 37 da LEP traz uma exceção: o trabalho externo poderá ser autorizado a presos em regime fechado somente em serviços ou obras públicas, mediante cautelas contra a fuga e em obediência a determinados requisitos, como aptidão, disciplina e responsabilidade.","content='0. Não houve alucinação contextual, pois o texto apresenta uma regra geral sobre o trabalho externo para condenados em regime fechado e na sequência traz uma exceção prevista na mesma lei. As informações são coerentes e não se contradizem.' additional_kwargs={'refusal': None} response_metadata={'token_usage': {'completion_tokens': 49, 'prompt_tokens': 389, 'total_tokens': 438, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-4.1-mini-2025-04-14', 'system_fingerprint': 'fp_79b79be41f', 'id': 'chatcmpl-BfNJLcYfMGd3zUocTg7fy2kdIIUiV', 'service_tier': 'default', 'finish_reason': 'stop', 'logprobs': None} id='run--03f21580-2a2c-4828-9b05-92f43e6509ac-0' usage_metadata={'input_tokens': 389, 'output_tokens': 49, 'total_tokens': 438, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}"
